A,B,C,D,E1,E2,E3,F1,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G34,G35,H,I,J
1.92,0.26,E,A,3063,69.28,14.296235,L,0.5227,1.554,2.42,0,0,0,0,0.664510621153052,0.405701221335547,9.18620948534705,5852.1,5,22,,0.21,,,,A11,A,
1.82,0.43,E,A,3063,65.88,14.5081715,L,0.52,1.669,2.37,0,0,0,0,0.654803398209071,0.399774706275012,10.0751634207498,5852.1,5,22,,0.21,,,,A11,A,
1.66,0.51,E,A,3063,49.24,14.644509,L,0.5259,1.784,2.31,0,0,0,0,0.648707307291764,0.39605288234655,11.0650976161825,5852.1,5,22,,0.21,,,,A11,A,
1.32,0.47,E,A,3063,45.48,14.864185,L,0.5318,1.899,2.26,0,0,0,0,0.639120140122045,0.390199664495564,12.1313167715289,5852.1,5,22,,0.21,,,,A11,A,
1.1,0.22,E,A,3063,43.2,15.0170325,L,0.5377,2.014,2.21,0,0,0,0,0.632614999001967,0.386228104653832,13.2554253806282,5852.1,5,22,,0.21,,,,A11,A,
2.6,0.26,E,A,3063,39.4,15.211261,L,0.5436,2.129,2.15,0,0,0,0,0.624537308248146,0.381296461877815,14.4238951565215,5852.1,5,22,,0.21,,,,A11,A,
1.39,0.28,E,A,3063,23.31,15.441905,L,0.5495,2.244,2.1,0,0,0,0,0.615209069088302,0.375601326390753,15.6267781390133,5852.1,5,22,,0.21,,,,A11,A,
1.93,0.27,E,A,3063,23.17,15.66898,L,0.5554,2.359,2.04,0,0,0,0,0.60629345369003,0.37015810856865,16.8567088300256,5852.1,5,22,,0.21,,,,A11,A,
2.57,0.26,E,A,3063,23.83,15.85064,L,0.5613,2.474,1.99,0,0,0,0,0.599344884496777,0.365915824219085,18.1081767223891,5852.1,5,22,,0.21,,,,A11,A,
1.42,0.17,E,A,3063,22.48,16.1792725,L,0.5675,2.593,1.94,0,0,0,0,0.587171023913467,0.358483361968222,20.6600074934979,5852.1,5,22,,0.21,,,,A11,A,
0.82,-0.93,A,A,3101,15.17,9.7513,L,0.5875,0.558,2.51,0,0,0,0,0.974229077148688,0.974229077148688,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,0.96086624684375
0.78,-1.11,A,A,3101,19.4,9.86137,L,0.584800000000001,0.56275,2.57,0,0,0,0,0.963354990229552,0.963354990229552,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.65534698193092
2.35,-1.24,B,A,3101,21.53,10.088325,L,0.582100000000001,0.5675,2.62,0,0,0,0,0.941682588536749,0.941682588536749,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.85237445915327
2.8,-1.15,B,A,3101,27.19,10.26027855,L,0.579400000000001,0.57225,2.68,0,0,0,0,0.925900788531711,0.925900788531711,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.44742464158426
2.94,-1.12,E,A,3101,28.39,10.4535225,L,0.576700000000001,0.577,2.74,0,0,0,0,0.908784574768936,0.908784574768936,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.22761212418794
2.57,-1.2,E,A,3101,28.57,10.660883,L,0.574000000000001,0.58175,2.79,0,0,0,0,0.891108175561068,0.891108175561068,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.75124991235677
1.89,-1.28,E,A,3101,24.29,10.815065,L,0.571300000000001,0.5865,2.85,0,0,0,0,0.87840433691337,0.87840433691337,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.16273327258867
2.11,-1.49,E,A,3101,26.47,11.06253,L,0.568600000000001,0.591249999999999,2.9,0,0,0,0,0.858754733320497,0.858754733320497,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.46380068379422
3.49,-1.08,E,A,3101,22.58,11.21262,L,0.565900000000001,0.595999999999999,2.96,0,0,0,0,0.847259605694298,0.847259605694298,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,2.17504004013371
1.26,-1.17,E,A,3101,26.82,11.390873,L,0.563200000000001,0.600749999999999,3.01,0,0,0,0,0.83400104627626,0.83400104627626,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.49542645355979
2.33,-1.17,E,A,3101,17.59,11.606005,L,0.560500000000001,0.605499999999999,3.07,0,0,0,0,0.818541780741952,0.818541780741952,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,0.868167422423696
3.35,-0.93,E,A,3101,14.46,11.7651325,L,0.557800000000001,0.610249999999999,3.13,0,0,0,0,0.807470719093049,0.807470719093049,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,2.04536339952476
2.38,-0.81,E,A,3101,12.51,11.9819745,L,0.5551,0.614999999999999,3.07,0,0,0,0,0.792857637946066,0.792857637946066,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.93779300167982
2.88,-0.66,E,A,3101,20.36,12.175325,L,0.5524,0.619749999999999,3.02,0,0,0,0,0.780266645859556,0.780266645859556,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.90296725613102
2.43,-0.57,E,A,3101,26.41,12.375581,L,0.5497,0.624499999999999,2.96,0,0,0,0,0.767640727332317,0.767640727332317,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.7941743743544
