A,B,E1,E2,E3,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G35,J,C_A,C_B,C_C,C_D,C_E,D_A,D_B,F1_A,F1_D,F1_G,F1_H,F1_L,F1_M,H_A1,H_A10,H_A11,H_A12,H_A13,H_A14,H_A15,H_A16,H_A17,H_A18,H_A19,H_A2,H_A20,H_A3,H_A4,H_A5,H_A6,H_A7,H_A8,H_A9,I_A,I_B,I_C,I_D,I_E,I_F,I_G
0.0,0.04455348636355197,-0.019727818036822567,-0.19181648613036242,-0.10884982019027917,-0.16027768639179896,0.20326063858398974,0.028358890161798007,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.011527384305121008,-0.20772785029050814,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1,0.038072928038527035,-0.019727818036822567,-0.10912914762907043,-0.09700767597269958,-0.16027768639179896,0.25103894723186354,0.023733543260780407,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.01785399479721481,-0.2105597083703179,0.1324766765255917,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,0.02760433382117908,-0.019727818036822567,-0.1827725584817836,-0.0851655317551199,-0.16027768639179896,0.29403942501495006,0.020033265739966343,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.021017300043261713,-0.2105597083703179,0.13618311522024365,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.017135739603831125,-0.019727818036822567,-0.17760459982545287,-0.061481243319960556,-0.16027768639179896,0.3848182114459104,0.01170764131813472,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.024180605289308613,-0.2105597083703179,0.1412954444542463,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8,0.02212078446923491,-0.019727818036822567,-0.12204904426989731,-0.05111936712957831,-0.16027768639179896,0.4325965200937843,0.00708229441711716,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.030507215781402416,-0.2105597083703179,0.15867736384985537,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,0.018631253063452265,-0.019727818036822567,-0.1323849615825588,-0.03878380023626616,-0.16027768639179896,0.4755969978768707,0.003382016896303095,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.03999713151954305,-0.2105597083703179,0.18615613348261975,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5,0.026108820361557945,-0.019727818036822567,0.008441911802454122,-0.02151400658562917,-0.16027768639179896,0.5233753065247445,-0.0012433300047145057,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.04632374201163685,-0.21339156645012766,0.21491298542388476,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.024613306901936804,-0.013445095523733562,-0.1737286308332048,-0.2973372823200888,-0.16027768639179896,-0.20763281578772555,0.03668451458362963,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.07457972779674035,0.13082135176698942,-0.07463052053944919,0.005179678598925241,0.6001736860006783,-0.13917911597104393,-0.058322379579376096,0.24289407636355534,-0.06384864814425947,0.6261584025986486,0.18160942795003457,-0.04261746917419911,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.8,0.020625271009613783,-0.013445095523733562,-0.2874237212724813,-0.2948701689414264,-0.16027768639179896,-0.20763281578772555,0.04038479210444369,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.07457972779674035,0.1276580465209425,-0.07463052053944919,0.005179678598925241,0.6001736860006783,-0.13917911597104393,-0.058322379579376096,0.24289407636355534,-0.06384864814425947,0.6261584025986486,0.18160942795003457,-0.07445474531838261,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.5,0.032589378686582876,-0.013445095523733562,-0.16597669284870867,-0.29141621021129904,-0.16027768639179896,-0.20285498492293816,0.04408506962525776,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.07457972779674035,0.12449474127489568,-0.07746237861925895,0.005179678598925241,0.6001736860006783,-0.13917911597104393,-0.058322379579376096,0.24289407636355534,-0.06384864814425947,0.6261584025986486,0.18160942795003457,-0.04659712869224409,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
