A,B,E1,E2,E3,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G35,J,C_A,C_B,C_C,C_D,C_E,D_A,D_B,F1_A,F1_D,F1_G,F1_H,F1_L,F1_M,H_A1,H_A10,H_A11,H_A12,H_A13,H_A14,H_A15,H_A16,H_A17,H_A18,H_A19,H_A2,H_A20,H_A3,H_A4,H_A5,H_A6,H_A7,H_A8,H_A9,I_A,I_B,I_C,I_D,I_E,I_F,I_G
3.1,3.4,1411,4.7,10.87,0.5,0.54,2.85,20.0,6.0,8.0,42.0,1.79,0.62,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.65599999999998,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.3,3.42,1411,13.7,10.99,0.5,0.55,2.89,20.0,6.0,8.0,42.0,1.77,0.62,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.65599999999998,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,3.18,1411,6.8,11.15,0.5,0.55,2.93,20.0,6.0,8.0,42.0,1.75,0.61,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.72,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.7,3.28,1411,11.8,11.31,0.5,0.55,2.97,20.0,6.0,8.0,42.0,1.72,0.6,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.15199999999987,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.3,3.03,1411,9.5,11.49,0.5,0.56,3.01,20.0,6.0,8.0,42.0,1.7,0.59,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.504,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.9,3.02,1411,9.5,11.64,0.5,0.56,3.05,20.0,6.0,8.0,42.0,1.67,0.58,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.792000000000073,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.04,1411,6.9,11.83,0.5,0.57,3.09,20.0,6.0,8.0,42.0,1.65,0.58,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.2240000000003401,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.5,3.19,1411,5.0,11.99,0.5,0.57,3.04,20.0,6.0,8.0,42.0,1.62,0.57,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.296,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.6,2.77,1411,9.7,12.15,0.5,0.58,3.0,20.0,6.0,8.0,42.0,1.6,0.56,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.008,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.6,2.63,1411,5.2,12.33,0.5,0.58,2.95,20.0,6.0,8.0,42.0,1.58,0.55,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.575999999999937,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
